Subject,Trial,Gaussian_Centroid,Standard_Deviation,Reaction_Time,Secondary_Task_Acc,Net_Cognitive_Load,Speed,Number_of_Fish,Turbidity,CameraDistance,Fish_Type
1,1,1,0.1,2.28434771725881,-0.255609437163093,0.264300139791881,7,8,3,1,0
1,3,1,0.1,-0.171026510066587,-0.843511142638205,-0.958834506466587,3,10,3,1,1
1,4,1,0.1,1.60070853734751,1.50809567926225,7.46019101855974,3,12,3,1,2
1,5,1,0.1,-0.385782273389508,-0.255609437163093,0.338864049441363,7,12,3,1,2
1,6,1,0.1,0.0186744142019933,-0.255609437163093,0.88823330100868,7,12,3,2,0
1,7,1,0.1,-0.0672278911271752,-0.255609437163093,2.61998346536886,7,12,7,2,0
1,8,1,0.1,-0.471684578718677,-0.255609437163093,-2.93071466351069,3,12,3,2,0
1,9,1,0.1,-0.428733426054093,-0.255609437163093,-2.37966978761239,3,8,7,2,0
1,10,1,0.1,-0.740129282872328,-0.255609437163093,-0.0573148398923011,7,8,3,2,2
1,11,1,0.1,-0.840348639089692,-0.843511142638205,-0.0811166136224573,7,10,7,1,1
1,12,1,0.1,-0.718653706540036,-0.255609437163093,-0.474711702802319,7,8,7,1,0
1,13,1,0.1,-0.16386798462249,1.50809567926225,3.4104437367103,3,12,7,1,0
1,14,1,0.1,-0.919092418974763,-0.255609437163093,0.392691628174288,7,8,3,1,1
1,15,1,0.1,1.10677028170479,-0.843511142638205,0.413701576392,3,10,7,1,2
1,16,1,0.1,0.240588702969012,-0.843511142638205,1.56900792097984,3,10,7,2,2
1,17,1,0.1,2.69954219301646,1.50809567926225,8.70839265170054,7,12,7,1,2
1,18,1,0.1,0.430289627237592,-0.255609437163093,-0.0602979871586479,7,8,7,2,1
1,19,1,0.1,-0.679281816597501,-0.255609437163093,1.74631123379574,7,8,3,2,1
1,20,1,0.1,-0.546849095881699,-0.843511142638205,-6.48811986269463,7,10,7,2,2
1,21,1,0.1,-0.443050476942287,-0.255609437163093,2.71098646591482,3,8,3,2,2
1,22,1,0.1,-0.29987996806034,-0.255609437163093,2.94656283194706,3,8,3,2,1
1,23,1,0.1,-0.589800248546284,3.27180079568758,1.57335737583375,3,10,3,1,0
1,24,1,0.1,-0.915513156252714,-0.255609437163093,-0.74268600206395,3,8,7,1,1
2,1,1,0.1,0.464088670255891,-0.420558293861036,0.876381098764356,7,12,3,1,2
2,2,1,0.1,1.02587331658995,1.53300281310635,2.266818184403,7,10,3,1,0
2,3,1,0.1,0.830743635510334,3.48656392007375,1.80959926022819,7,12,7,1,1
2,4,1,0.1,1.23673926227276,-0.420558293861036,0.999352079656983,7,8,7,2,2
2,5,1,0.1,-0.0221619059828328,-0.420558293861036,1.69019453721882,7,12,7,2,1
2,6,1,0.1,0.674954615938704,0.556222259622659,0.15258636170955,7,12,7,1,2
2,7,1,0.1,1.43029531689206,-0.420558293861036,0.441329903277174,3,8,3,1,0
2,8,1,0.1,1.83943819657513,-0.746151811688934,2.36711738834969,3,10,7,1,2
2,9,1,0.1,0.0816974403982539,-0.746151811688934,0.271205345289376,3,10,3,2,0
2,10,1,0.1,-0.402979509380151,-0.746151811688934,-0.279308670469937,7,10,3,2,0
2,11,1,0.1,-0.0945487231575296,-0.420558293861036,1.17355741424389,7,8,7,2,0
2,12,1,0.1,0.169820522176146,0.556222259622659,1.25120485568506,3,12,7,2,2
2,13,1,0.1,-0.989942179079322,1.53300281310635,0.259503975399298,7,10,3,1,1
2,14,1,0.1,1.68050192408286,-0.420558293861036,0.550000593469007,3,8,7,2,1
2,15,1,0.1,-1.0607553697937,-0.746151811688934,0.964785094787875,7,10,7,1,0
2,16,1,0.1,-0.612271828602644,-0.420558293861036,2.01848180139885,3,12,3,2,2
2,17,1,0.1,0.475104055478128,0.556222259622659,0.465607897147427,3,8,3,2,1
2,18,1,0.1,-0.115005867141683,-0.420558293861036,0.172559261977464,3,12,3,1,2
2,19,1,0.1,-0.706689416221813,0.556222259622659,0.546186328076978,3,12,7,1,1
2,20,1,0.1,-1.42268945566718,-0.746151811688934,1.70908678464752,3,10,7,2,0
2,21,1,0.1,-0.635876225507436,-0.420558293861036,-0.713941060231838,7,12,3,2,1
2,22,1,0.1,-1.38649604707984,-0.420558293861036,0.521921936393585,3,8,7,1,0
2,23,1,0.1,-1.20080812476213,-0.420558293861036,-0.684030043411954,3,8,3,1,1
2,24,1,0.1,-1.25903230379396,-0.420558293861036,0.774964161097885,7,8,3,2,2
3,1,1,0.1,3.2587883326523,-0.313103974450949,1.14265192175109,7,8,3,2,0
3,2,1,0.1,0.338950201642425,1.29714503701107,2.05472737765867,3,8,3,1,0
3,3,1,0.1,0.773530760676452,-0.313103974450949,0.783485195723373,3,8,7,2,2
3,4,1,0.1,-0.231436782089736,1.29714503701107,-0.788932012596979,7,8,3,1,1
3,5,1,0.1,-0.557372201365257,-0.313103974450949,2.17361749416348,7,8,7,1,1
3,6,1,0.1,-0.163533569740669,2.90739404847309,-0.851946901733544,7,10,7,2,1
3,7,1,0.1,-0.38761417049259,-0.849853644938288,0.7093786389762,7,10,3,1,2
3,8,1,0.1,-0.28575935196899,1.29714503701107,3.16441660124271,7,8,7,2,0
3,9,1,0.1,-0.143162606035949,1.29714503701107,-0.148536217806783,3,12,7,1,1
3,10,1,0.1,-0.808614087056804,-0.849853644938288,-1.32196656061171,7,10,3,2,2
3,11,1,0.1,-0.964791475459657,-0.849853644938288,-1.38986599969738,3,10,7,1,0
3,12,1,0.1,-0.849356014466244,1.29714503701107,-1.51173528823384,3,12,3,1,1
3,13,1,0.1,-0.50983995272091,-0.313103974450949,3.14429419324278,3,12,7,2,0
3,14,1,0.1,0.522288874984905,-0.849853644938288,0.42954839215608,3,10,3,2,2
3,15,1,0.1,-0.910468905580404,-0.849853644938288,-0.746540959313829,7,10,3,2,1
3,16,1,0.1,-0.217856139619923,-0.313103974450949,0.149516361254074,3,8,3,1,2
3,17,1,0.1,-0.231436782089736,-0.313103974450949,0.26118797995704,7,8,3,1,0
3,18,1,0.1,0.0605470310112509,-0.313103974450949,0.321084897543594,3,8,3,2,0
3,19,1,0.1,0.0130147823669042,-0.313103974450949,0.127630858297898,3,8,7,1,2
3,20,1,0.1,0.705627548327385,-0.313103974450949,-0.201825691221897,7,12,7,2,2
3,21,1,0.1,0.352530844112238,-0.313103974450949,4.84830986476709,3,12,7,2,1
3,22,1,0.1,2.17233693506723,-0.849853644938288,-0.0610631142230773,3,10,3,2,1
3,23,1,0.1,-1.10059790015779,-0.849853644938288,-1.13246679120017,7,10,7,1,2
3,24,1,0.1,-0.83577537199643,-0.313103974450949,0.255839894595315,7,12,7,1,0
4,1,1,0.1,-0.00888346395525166,-0.0591726335413945,0.279174355417282,3,8,7,2,1
4,2,1,0.1,2.30747976237662,-0.0591726335413945,1.53959719325923,7,12,7,2,1
4,3,1,0.1,1.46799241860534,-0.0591726335413945,0.934688703303847,3,8,3,2,2
4,4,1,0.1,0.81505781789434,-0.0591726335413945,0.190354458734893,7,8,7,1,1
4,5,1,0.1,0.370884620131757,-0.68048528572603,1.04817662437282,7,10,3,1,2
4,6,1,0.1,0.0954972375189553,3.66870327956642,1.60434963816858,7,10,3,1,1
4,7,1,0.1,-0.144356289272839,-0.68048528572603,0.420502900262904,3,10,3,1,2
4,9,1,0.1,-1.33029872729894,-0.0591726335413945,-1.56977671148039,7,8,3,2,0
4,10,1,0.1,-1.01271489089869,-0.0591726335413945,2.34947967942227,7,8,3,2,1
4,11,1,0.1,-0.424185403863267,-0.68048528572603,0.0742657333879535,3,10,3,2,0
4,12,1,0.1,0.21320313492604,-0.0591726335413945,-0.266544654634926,7,8,7,1,2
4,13,1,0.1,-0.684026724554378,-0.68048528572603,1.79418782434006,3,10,7,1,1
4,14,1,0.1,-0.746210972241139,-0.68048528572603,-0.834862188508615,7,10,3,2,2
4,15,1,0.1,0.470823589628338,1.80476532301251,0.614553612843612,3,12,3,1,1
4,16,1,0.1,0.262062186679924,-0.68048528572603,2.26105032443173,3,10,3,2,1
4,17,1,0.1,0.981622767055308,-0.0591726335413945,2.02240141126153,7,8,7,2,0
4,19,1,0.1,-1.1348625202834,-0.0591726335413945,1.18593804557989,3,12,7,1,2
4,21,1,0.1,1.17927984005966,-0.68048528572603,2.49003758202911,3,10,3,1,0
4,22,1,0.1,-1.33029872729894,-0.0591726335413945,0.299552229740652,7,8,7,2,2
4,23,1,0.1,0.0444173197762583,-0.0591726335413945,0.794640802941614,3,12,7,1,0
4,24,1,0.1,-1.3924829749857,-0.0591726335413945,0.0384575579940206,3,12,7,2,2
5,1,1,0.1,2.16756348179368,-0.395008187929654,1.91558095565621,7,8,7,2,2
5,2,1,0.1,1.08347567432217,-0.395008187929654,-1.82146298815305,3,8,7,1,2
5,3,1,0.1,0.18792487684571,-0.395008187929654,3.55895784616031,7,12,3,2,2
5,4,1,0.1,-0.532555839921067,0.371772412169085,-5.85441565780008,3,12,7,2,2
5,5,1,0.1,1.28547961360258,-0.6506017212959,2.94598810796578,3,10,7,2,1
5,7,1,0.1,0.807403623972285,-0.395008187929654,-0.474541387320101,3,8,3,2,0
5,9,1,0.1,0.120590230418908,-0.395008187929654,0.533148585584275,3,8,7,1,1
5,10,1,0.1,-0.956764112409917,-0.6506017212959,-1.54688189614502,7,10,3,1,2
5,11,1,0.1,2.44363553214356,2.6721142124653,23.2036807227682,3,12,3,1,1
5,12,1,0.1,0.369728422198074,2.6721142124653,0.0182644089464576,7,12,3,1,1
5,13,1,0.1,0.107123301133548,-0.395008187929654,0.609818153297345,7,8,3,2,1
5,14,1,0.1,-0.24301686028582,-0.395008187929654,-4.14682392636381,3,12,7,2,0
5,15,1,0.1,-0.357485759211383,-0.395008187929654,-0.86489295810955,7,8,7,2,0
5,16,1,0.1,-1.07123301133548,-0.395008187929654,0.0460775773721851,3,12,3,2,2
5,17,1,0.1,-1.165501516333,-0.6506017212959,-3.69947518007478,3,10,3,1,2
5,18,1,0.1,-0.559489698491788,1.13855301226782,-1.69550250203547,3,10,3,1,0
5,19,1,0.1,-0.344018829926022,-0.6506017212959,-1.12273301716048,7,10,7,2,1
5,20,1,0.1,-0.707625920630751,-0.6506017212959,-3.35926183956519,3,10,7,1,0
5,21,1,0.1,-0.552756233849107,1.13855301226782,-4.22967357702974,7,10,7,1,1
5,22,1,0.1,-0.822094819556314,-0.395008187929654,-2.94543626227686,7,8,7,1,2
5,23,1,0.1,-0.465221193494265,-0.395008187929654,-2.1038121344945,7,12,7,1,0
5,24,1,0.1,-0.795160960985593,-0.395008187929654,-1.15219488006431,7,8,3,2,0
6,1,1,0.1,0.233148016104067,-0.401593372583645,2.20961643987008,3,8,7,2,1
6,2,1,0.1,2.25361710552058,0.912712210417374,0.151733998072933,7,12,3,2,1
6,3,1,0.1,0.111390490191631,0.912712210417374,-0.0590198128431026,3,8,7,1,0
6,4,1,0.1,0.813702016469159,-0.401593372583645,0.618607610726598,3,8,7,2,0
6,5,1,0.1,-0.336818373312119,-0.839695233583985,0.800496627998423,7,10,7,2,2
6,6,1,0.1,2.91004898435284,2.22701779341839,1.26801752481811,7,10,3,1,1
6,7,1,0.1,-0.0915387196624291,-0.401593372583645,1.63826815447648,3,8,3,1,2
6,8,1,0.1,0.0690400463960008,-0.401593372583645,0.427118317034887,3,8,7,1,2
6,9,1,0.1,0.40784359676104,-0.401593372583645,0.612767537115243,7,12,7,1,0
6,10,1,0.1,-0.66503431272825,-0.839695233583985,0.0311330765953966,7,10,7,1,2
6,11,1,0.1,-0.430342270027468,-0.401593372583645,1.26973211300326,7,12,7,2,0
6,12,1,0.1,-0.864434318932674,-0.839695233583985,-0.804965026418293,3,10,7,2,2
6,13,1,0.1,-0.118007747034698,-0.401593372583645,-0.744728261536702,3,8,3,1,0
6,14,1,0.1,1.42954805333061,-0.839695233583985,1.02895439162687,3,10,3,2,0
6,15,1,0.1,-0.779733431341415,-0.401593372583645,-1.69317134055727,3,12,3,2,1
6,16,1,0.1,0.317848903695326,-0.401593372583645,0.20486986093662,7,8,3,2,2
6,17,1,0.1,-1.05677591783783,0.912712210417374,-1.42988931256767,3,12,7,1,1
6,18,1,0.1,-0.250352883896041,-0.401593372583645,-1.55283017671142,3,12,3,2,2
6,19,1,0.1,-0.966781224772113,2.22701779341839,0.978209049392778,3,10,3,1,1
6,20,1,0.1,-0.91031396637794,2.22701779341839,0.814449247331495,7,10,7,1,1
6,21,1,0.1,-0.403873242655199,-0.839695233583985,1.17105063586265,7,10,3,1,0
6,22,1,0.1,-0.959722817472841,-0.401593372583645,-1.78848203442261,7,12,3,1,2
6,23,1,0.1,-0.423283862728196,-0.401593372583645,3.40066860683581,7,8,7,2,1
6,24,1,0.1,-0.289174124042035,-0.401593372583645,4.26671567173215,7,12,3,2,0
7,1,1,0.1,1.46706724705617,-0.290957186981324,1.71354931756934,7,8,7,2,2
7,2,1,0.1,3.76560498367291,-0.290957186981324,3.83501384725641,3,8,7,1,2
7,3,1,0.1,0.939971510647681,-0.290957186981324,1.64215865845183,7,12,3,2,2
7,4,1,0.1,0.085942975707351,-0.290957186981324,-0.0457384140679068,3,12,7,2,2
7,6,1,0.1,-0.254334018682937,-0.290957186981324,-1.47088399973209,7,8,3,1,0
7,7,1,0.1,-0.457833005524187,-0.290957186981324,2.86258440423262,3,8,3,2,0
7,8,1,0.1,-0.368871699801236,-0.290957186981324,0.592268373110538,3,8,3,2,1
7,9,1,0.1,0.065926681919687,-0.290957186981324,-1.82119569616213,3,8,7,1,1
7,10,1,0.1,-0.331063144868982,2.76409327632257,-1.1231402949483,7,10,3,1,2
7,12,1,0.1,-0.00524236265867385,1.23656804467062,0.327381617831071,7,12,3,1,1
7,13,1,0.1,-0.510097772636421,-0.290957186981324,0.642729215886759,7,8,3,2,1
7,14,1,0.1,-0.472289217704167,-0.290957186981324,1.537896234078,3,12,7,2,0
7,15,1,0.1,-0.541234229639454,-0.290957186981324,-2.73654140197151,7,8,7,2,0
7,16,1,0.1,-0.531226082745622,-0.290957186981324,-0.742186681265646,3,12,3,2,2
7,17,1,0.1,-0.294366606258265,-0.800132264198639,0.175242055606693,3,10,3,1,2
7,19,1,0.1,-0.425584532199618,-0.800132264198639,0.943304889039403,7,10,7,2,1
7,20,1,0.1,-0.446712842308818,-0.800132264198639,1.03374231113469,3,10,7,1,0
7,21,1,0.1,-0.430032597485765,2.76409327632257,-1.79280474904439,7,10,7,1,1
7,22,1,0.1,-0.401120173125806,-0.290957186981324,-0.151895429697829,7,8,7,1,2
7,23,1,0.1,-0.516769870565642,-0.290957186981324,3.97827747631619,7,12,7,1,0
7,24,1,0.1,-0.337735242798203,-0.290957186981324,-1.21137317197816,7,8,3,2,0
8,1,1,0.1,1.74430280251217,-0.81401415689105,2.0130937787369,3,10,7,1,1
8,2,1,0.1,1.95922110775353,-0.222003860970287,0.230273358905221,3,8,3,2,0
8,3,1,0.1,1.11011763950489,-0.81401415689105,12.8121412640823,7,10,3,2,2
8,4,1,0.1,1.51881474455403,-0.81401415689105,-0.912991656464671,7,10,3,2,0
8,5,1,0.1,0.070758622354054,-0.222003860970287,0.869277972928353,3,8,3,1,1
8,6,1,0.1,-0.0490319084362115,1.554027026792,-2.12919946129881,7,12,7,2,0
8,7,1,0.1,1.08193163226012,-0.222003860970287,-0.228731843721108,7,8,7,1,1
8,8,1,0.1,1.17353615580562,-0.222003860970287,-0.643697064134258,3,8,3,2,2
8,9,1,0.1,-1.06020491834228,-0.222003860970287,-1.68995606941837,3,8,7,1,2
8,10,1,0.1,-0.817100605856149,-0.222003860970287,-0.942087609543691,7,8,3,1,0
8,11,1,0.1,-0.891088874873666,-0.222003860970287,-0.643255294262588,3,8,7,1,0
8,12,1,0.1,0.204642156766704,-0.222003860970287,3.20560891002606,7,8,7,1,0
8,13,1,0.1,-0.426019755334988,-0.222003860970287,-3.24610578607905,7,8,3,1,1
8,14,1,0.1,-0.820623856761745,-0.222003860970287,-0.644721478684457,3,12,7,2,2
8,15,1,0.1,-0.915751631212838,-0.81401415689105,0.554170465385102,3,10,7,2,1
8,16,1,0.1,0.704943785361342,-0.222003860970287,3.12392189331048,7,12,7,2,2
8,17,1,0.1,0.641525269060613,3.3300579145543,6.13376835825743,7,10,7,2,1
8,18,1,0.1,-0.993263151135951,1.554027026792,-0.139201934512213,3,12,3,1,2
8,19,1,0.1,-0.140636431981709,-0.222003860970287,0.346813270382941,7,12,3,2,1
8,20,1,0.1,-1.05315841653108,-0.222003860970287,0.387539013592249,3,12,3,1,0
8,21,1,0.1,-0.898135376684858,1.554027026792,-0.852252090997658,7,8,7,1,2
8,22,1,0.1,-0.947460889363202,-0.81401415689105,0.25006068239496,3,10,3,2,1
8,23,1,0.1,-0.95803064207999,-0.81401415689105,-2.15934008053848,7,10,3,1,2
8,24,1,0.1,-0.239287457338398,-0.222003860970287,-1.35840851358932,3,12,7,2,0
9,1,1,0.1,0.260359713264582,-0.375540841706121,0.269104649139743,7,8,7,1,0
9,2,1,0.1,0.872162075787297,0.706016782407506,-0.27325271954536,3,8,7,1,2
9,3,1,0.1,0.0506971058832025,0.706016782407506,-1.20127439696399,3,12,3,2,2
9,4,1,0.1,0.229425885946018,-0.375540841706121,0.098577877985572,7,12,3,2,2
9,5,1,0.1,0.555949618753085,-0.375540841706121,1.3480964027892,7,8,3,1,1
9,6,1,0.1,-0.45455540698668,-0.375540841706121,0.135128353148854,7,8,7,1,2
9,7,1,0.1,0.188180782854599,-0.736060049743996,-4.16753421016816,7,10,7,2,1
9,8,1,0.1,3.27468933086245,-0.375540841706121,1.42847562576394,3,8,7,2,2
9,9,1,0.1,0.0575712897317723,3.95068965474839,-1.72166540408653,3,12,7,1,1
9,10,1,0.1,-0.433932855440971,0.706016782407506,-1.36985116386244,7,12,3,1,0
9,11,1,0.1,1.06463922354725,-0.736060049743996,0.885265292353784,3,10,3,2,0
9,12,1,0.1,-0.884191897522294,-0.375540841706121,-2.59960551127384,7,8,7,1,1
9,13,1,0.1,-0.976993379477987,0.706016782407506,0.434585588139753,3,12,3,1,1
9,14,1,0.1,0.896221719257292,-0.375540841706121,0.877633602354676,3,8,3,1,0
9,15,1,0.1,-0.578290716260937,0.706016782407506,-1.02137692113157,7,8,3,2,1
9,16,1,0.1,-0.949496644083708,-0.375540841706121,-0.781119895386934,3,12,3,2,1
9,17,1,0.1,-0.743271128626613,-0.736060049743996,0.870418468898615,7,10,3,2,0
9,18,1,0.1,-0.935748276386568,0.706016782407506,1.30201871430048,3,12,7,1,0
9,19,1,0.1,0.384095022538839,-0.736060049743996,-1.34266227853258,3,10,7,2,0
9,20,1,0.1,1.22618254398864,-0.375540841706121,0.817723519784264,3,12,3,1,2
9,21,1,0.1,-0.616098727428071,-0.375540841706121,-2.91807645057027,3,8,7,2,1
9,22,1,0.1,-0.66421801436806,-0.375540841706121,-0.145044710879912,7,8,7,2,2
9,23,1,0.1,-1.21071563032936,-0.375540841706121,-2.49510122498935,7,8,3,1,2
9,24,1,0.1,-0.612661635503786,-0.736060049743996,-1.42077930547398,7,10,7,2,0
10,1,1,0.1,0.296138490004323,-0.435642635968827,-0.461482313607979,7,12,3,1,2
10,2,1,0.1,-0.863279046458227,-0.91088914793482,-1.16199284245925,7,10,3,1,0
10,3,1,0.1,-0.850710834680855,0.990096899929152,-1.36257151846652,7,12,7,1,1
10,4,1,0.1,0.726599743379308,-0.435642635968827,1.56700843634857,7,8,7,2,2
10,5,1,0.1,-0.0212088573743149,-0.435642635968827,0.48705651056019,7,12,7,2,1
10,6,1,0.1,1.78232953267854,0.990096899929152,-0.677000577480333,7,12,7,1,2
10,7,1,0.1,0.113899419232432,0.990096899929152,0.668740418344762,3,8,3,1,0
10,8,1,0.1,0.393542131278955,-0.91088914793482,-0.906132478920037,3,10,7,1,2
10,9,1,0.1,-0.341698257697296,2.41583643582713,0.320240163276145,3,10,3,2,0
10,10,1,0.1,-0.401397263639812,-0.91088914793482,-0.836370076272178,7,10,3,2,0
10,11,1,0.1,-0.0777658103724881,0.990096899929152,-0.535758753572568,7,8,7,2,0
10,12,1,0.1,0.73916795515668,-0.435642635968827,1.80004747810229,3,12,7,2,2
10,13,1,0.1,-0.674755869797649,-0.91088914793482,0.327045403756797,7,10,3,1,1
10,14,1,0.1,-0.995245270120631,-0.435642635968827,0.978605761465888,3,8,7,2,1
10,15,1,0.1,2.75008183953617,-0.91088914793482,0.571944056926856,7,10,7,1,0
10,16,1,0.1,0.54750272555176,-0.435642635968827,-0.6755443610715,3,12,3,2,2
10,17,1,0.1,0.849139808208683,-0.435642635968827,0.743883196257444,3,8,3,2,1
10,18,1,0.1,-0.847568781736512,-0.435642635968827,-0.717696751213019,3,12,3,1,2
10,19,1,0.1,-1.33772904105401,0.990096899929152,-1.9138741816271,3,12,7,1,1
10,20,1,0.1,0.054200413289916,2.41583643582713,-0.45253280083217,3,10,7,2,0
10,21,1,0.1,-1.3440131469427,-0.435642635968827,-1.31354465719294,7,12,3,2,1
10,22,1,0.1,1.07536762020138,-0.435642635968827,0.0419775692860409,3,8,7,1,0
10,23,1,0.1,-0.800437987571368,-0.435642635968827,0.925437760743717,3,8,3,1,1
10,24,1,0.1,-0.772159511072281,-0.435642635968827,0.178141387976394,7,8,3,2,2
12,1,1,0.1,1.63379658227562,-0.0687084700658151,4.85816962005382,7,8,7,2,2
12,2,1,0.1,1.03887795843342,-0.0687084700658151,0.955729767329547,3,8,7,1,2
12,3,1,0.1,0.997957629809359,-0.0687084700658151,-0.415194195829803,7,12,3,2,2
12,4,1,0.1,1.58343310089215,-0.0687084700658151,1.32656391437671,3,12,7,2,2
12,5,1,0.1,-0.558588716698391,-0.893210110855586,-0.00436356850564856,3,10,7,2,1
12,6,1,0.1,0.946020289632659,-0.0687084700658151,1.33962931899911,7,8,3,1,0
12,7,1,0.1,1.61018870037712,-0.0687084700658151,0.364444203473508,3,8,3,2,0
12,8,1,0.1,0.340084654237832,-0.0687084700658151,-1.37988619149914,3,8,3,2,1
12,9,1,0.1,0.333789219064899,-0.0687084700658151,1.03096429633046,3,8,7,1,1
